packName,color,text,pick,official
CAH Base Set,white,"""Tweeting.""",,true
CAH Base Set,white,(I am doing Kegels right now.),,true
CAH Base Set,white,"10,000 Syrian refugees.",,true
CAH Base Set,white,100% Pure New Zealand.,,true
CAH Base Set,white,2 Girls 1 Cup.,,true
CAH Base Set,white,400 years of colonial atrocities.,,true
CAH Base Set,white,50 mg of Zoloft daily.,,true
CAH Base Set,white,"50,000 volts straight to the nipples.",,true
CAH Base Set,white,72 virgins.,,true
CAH Base Set,white,8 oz. of sweet Mexican black-tar heroin.,,true
CAH Base Set,white,A bag of magic beans.,,true
CAH Base Set,white,A balanced breakfast.,,true
CAH Base Set,white,"A ball of earwax, semen, and toenail clippings.",,true
CAH Base Set,white,A big black dick.,,true
CAH Base Set,white,A big hoopla about nothing.,,true
CAH Base Set,white,A bird that shits human turds.,,true
CAH Base Set,white,A bit of slap and tickle.,,true
CAH Base Set,white,A bitch slap.,,true
CAH Base Set,white,A bleached arsehole.,,true
CAH Base Set,white,A bleached asshole.,,true
CAH Base Set,white,A Bop It™.,,true
CAH Base Set,white,A bowl of mayonnaise and human teeth.,,true
CAH Base Set,white,A brain tumor.,,true
CAH Base Set,white,A brain tumour.,,true
CAH Base Set,white,A bucket of fish heads.,,true
CAH Base Set,white,A can of whoop-ass.,,true
CAH Base Set,white,A caress of the inner thigh.,,true
CAH Base Set,white,"A cartoon camel enjoying the smooth, refreshing taste of a cigarette.",,true
CAH Base Set,white,A cat with... hands.,,true
CAH Base Set,white,A cherry-wood spanking bench.,,true
CAH Base Set,white,A Chinese tourist who wants something very badly but cannot communicate it.,,true
CAH Base Set,white,A clandestine butt scratch.,,true
CAH Base Set,white,A cooler full of organs.,,true
CAH Base Set,white,A copy of Bedside Hitler.,,true
CAH Base Set,white,A crucifixion.,,true
CAH Base Set,white,"A cute, fuzzy koala, but it has chlamydia.",,true
CAH Base Set,white,A death ray.,,true
CAH Base Set,white,A decent fucking Internet connection.,,true
CAH Base Set,white,A defective condom.,,true
CAH Base Set,white,A despondent Maple Leafs fan sitting all alone.,,true
CAH Base Set,white,A didgeridildo.,,true
CAH Base Set,white,A disappointing birthday party.,,true
CAH Base Set,white,A drive-by shooting.,,true
CAH Base Set,white,A fair go.,,true
CAH Base Set,white,A falcon with a cap on its head.,,true
CAH Base Set,white,A fanny fart.,,true
CAH Base Set,white,A fart so powerful that it wakes the giants from their thousand-year slumber.,,true
CAH Base Set,white,A fat bald man from the internet.,,true
CAH Base Set,white,A fetus.,,true
CAH Base Set,white,A five-litre goon bag.,,true
CAH Base Set,white,A Fleshlight.,,true
CAH Base Set,white,A Fleshlight®.,,true
CAH Base Set,white,A foetus.,,true
CAH Base Set,white,A foul mouth.,,true
CAH Base Set,white,A fuck-ton of almonds.,,true
CAH Base Set,white,A fuck-tonne of almonds.,,true
CAH Base Set,white,A gassy antelope.,,true
CAH Base Set,white,A gentle caress of the inner thigh.,,true
CAH Base Set,white,A ginger's freckled ballsack.,,true
CAH Base Set,white,A good sniff.,,true
CAH Base Set,white,"A good, strong gorilla.",,true
CAH Base Set,white,A gossamer stream of jizz that catches the light as it arcs through the morning air.,,true
CAH Base Set,white,A grande sugar-free iced soy caramel macchiato.,,true
CAH Base Set,white,A Gypsy curse.,,true
CAH Base Set,white,A hairless little shitstain named Callou.,,true
CAH Base Set,white,A Halal Snack Pack.,,true
CAH Base Set,white,A hen night in Slough.,,true
CAH Base Set,white,A homoerotic volleyball montage.,,true
CAH Base Set,white,A horde of Vikings.,,true
CAH Base Set,white,A hot mess.,,true
CAH Base Set,white,A Japanese tourist who wants something very badly but cannot communicate it.,,true
CAH Base Set,white,A Japanese whaling operation.,,true
CAH Base Set,white,A LAN party.,,true
CAH Base Set,white,A lifetime of sadness.,,true
CAH Base Set,white,A literal tornado of fire.,,true
CAH Base Set,white,A little boy who won't shut the fuck up about dinosaurs.,,true
CAH Base Set,white,A live studio audience.,,true
CAH Base Set,white,A look-see.,,true
CAH Base Set,white,A low standard of living.,,true
CAH Base Set,white,A mad cow.,,true
CAH Base Set,white,A madman who lives in a police box and kidnaps women.,,true
CAH Base Set,white,A man of means by no means.,,true
CAH Base Set,white,A man on the brink of orgasm.,,true
CAH Base Set,white,A mating display.,,true
CAH Base Set,white,A Mexican.,,true
CAH Base Set,white,A micropenis.,,true
CAH Base Set,white,A micropig wearing a tiny raincoat and booties.,,true
CAH Base Set,white,A middle-aged man on roller skates.,,true
CAH Base Set,white,A mime having a stroke.,,true
CAH Base Set,white,A moment of silence.,,true
CAH Base Set,white,A monkey smoking a cigar.,,true
CAH Base Set,white,A mopey zoo lion.,,true
CAH Base Set,white,A much younger woman.,,true
CAH Base Set,white,A murder most foul.,,true
CAH Base Set,white,A neglected Tamagotchi™.,,true
CAH Base Set,white,A nice cup of tea.,,true
CAH Base Set,white,A pangender octopus who roams the cosmos in search of love.,,true
CAH Base Set,white,A pineapple with chlamydia.,,true
CAH Base Set,white,A posh wank.,,true
CAH Base Set,white,A prayer bouquet.,,true
CAH Base Set,white,A pyramid of severed heads.,,true
CAH Base Set,white,A really cool hat.,,true
CAH Base Set,white,A robust mongoloid.,,true
CAH Base Set,white,A sad god with a shit-covered pair of nipples.,,true
CAH Base Set,white,A sad handjob.,,true
CAH Base Set,white,A salad for men that's made of metal.,,true
CAH Base Set,white,A salty surprise.,,true
CAH Base Set,white,A sassy black woman.,,true
CAH Base Set,white,A sausage festival.,,true
CAH Base Set,white,A saxophone solo.,,true
CAH Base Set,white,A sea of troubles.,,true
CAH Base Set,white,A shark!,,true
CAH Base Set,white,A sick burnout.,,true
CAH Base Set,white,A sick wombat.,,true
CAH Base Set,white,A sickly child-king.,,true
CAH Base Set,white,A six-point plan to stop the boats.,,true
CAH Base Set,white,A slab of VB and a pack of durries.,,true
CAH Base Set,white,a slightly used tampon,,true
CAH Base Set,white,A snapping turtle biting the tip of your penis.,,true
CAH Base Set,white,A sober Irishman who doesn't care for potatoes.,,true
CAH Base Set,white,A soggy Sao.,,true
CAH Base Set,white,A spastic nerd.,,true
CAH Base Set,white,A stingray barb through the chest.,,true
CAH Base Set,white,A stray pube.,,true
CAH Base Set,white,A subscription to Men's Fitness.,,true
CAH Base Set,white,A Super Soaker™ full of cat pee.,,true
CAH Base Set,white,A surprisingly low amount of prison rape.,,true
CAH Base Set,white,A swift hoog to the face.,,true
CAH Base Set,white,A thermonuclear detonation.,,true
CAH Base Set,white,A thousand Scottish warriors lifting their kilts in unison.,,true
CAH Base Set,white,A three-way with my wife and Shaquille O'Neal.,,true
CAH Base Set,white,A Tim Hortons franchise.,,true
CAH Base Set,white,A time travel paradox.,,true
CAH Base Set,white,A tiny horse.,,true
CAH Base Set,white,"A tiny, gay guitar called a ukulele.",,true
CAH Base Set,white,A tribe of warrior women.,,true
CAH Base Set,white,A vagina that tastes like the bathroom floors at Tom's Diner.,,true
CAH Base Set,white,A vajazzled vagina.,,true
CAH Base Set,white,A vastly superior healthcare system.,,true
CAH Base Set,white,A vindaloo poo.,,true
CAH Base Set,white,A web of lies.,,true
CAH Base Set,white,A wheelchair death race.,,true
CAH Base Set,white,A white ethnostate.,,true
CAH Base Set,white,A white van man.,,true
CAH Base Set,white,A whole thing of butter.,,true
CAH Base Set,white,A windmill full of corpses.,,true
CAH Base Set,white,A wisecracking terrorist.,,true
CAH Base Set,white,A zesty breakfast burrito.,,true
CAH Base Set,white,Aaron Burr.,,true
CAH Base Set,white,Abstinence.,,true
CAH Base Set,white,Academy Award winner Meryl Streep.,,true
CAH Base Set,white,Accepting the way things are.,,true
CAH Base Set,white,Accidentally slipping yourself a roofie.,,true
CAH Base Set,white,Active listening.,,true
CAH Base Set,white,Actually giving a shit,,true
CAH Base Set,white,Actually taking candy from a baby.,,true
CAH Base Set,white,Adderall™.,,true
CAH Base Set,white,Adult Friendfinder.,,true
CAH Base Set,white,"Advice from a wise, old black man.",,true
CAH Base Set,white,African children.,,true
CAH Base Set,white,Agriculture.,,true
CAH Base Set,white,AIDS.,,true
CAH Base Set,white,Alcohol poisoning.,,true
CAH Base Set,white,Alcoholism.,,true
CAH Base Set,white,Alexandria Ocasio-Cortez.,,true
CAH Base Set,white,All four prongs of an echidna's penis.,,true
CAH Base Set,white,All my gentleman suitors.,,true
CAH Base Set,white,all pants are half off today,,true
CAH Base Set,white,All the dudes I've fucked.,,true
CAH Base Set,white,All-you-can-eat shrimp for $4.99.,,true
CAH Base Set,white,All-you-can-eat shrimp for $8.99.,,true
CAH Base Set,white,Altar boys.,,true
CAH Base Set,white,America.,,true
CAH Base Set,white,American Gladiators.,,true
CAH Base Set,white,Americanization.,,true
CAH Base Set,white,Amputees.,,true
CAH Base Set,white,An AK-47 assault rifle.,,true
CAH Base Set,white,An AK-47.,,true
CAH Base Set,white,An AR-15 assault rifle.,,true
CAH Base Set,white,An argument with Richard Dawkins.,,true
CAH Base Set,white,An Army of smack heads with HIV infected needles.,,true
CAH Base Set,white,An ass like two football helmets.,,true
CAH Base Set,white,An asymmetric boob job.,,true
CAH Base Set,white,An endless stream of diarrhea.,,true
CAH Base Set,white,An endless stream of diarrhoea.,,true
CAH Base Set,white,An entrenched class system.,,true
CAH Base Set,white,An erection that lasts longer than four hours.,,true
CAH Base Set,white,An Evening with Michael Buble.,,true
CAH Base Set,white,An evil man in evil clothes.,,true
CAH Base Set,white,An honest cop with nothing left to lose.,,true
CAH Base Set,white,An icepick lobotomy.,,true
CAH Base Set,white,An icy handjob from an Edmonton hooker.,,true
CAH Base Set,white,An M. Night Shyamalan plot twist.,,true
CAH Base Set,white,An M16 assault rifle.,,true
CAH Base Set,white,An octopus giving seven handjobs and smoking a cigarette.,,true
CAH Base Set,white,An Oedipus complex.,,true
CAH Base Set,white,An old guy who's almost dead.,,true
CAH Base Set,white,An older woman who knows her way around the penis.,,true
CAH Base Set,white,An oversized lollipop.,,true
CAH Base Set,white,An ugly face.,,true
CAH Base Set,white,An unsurprising rash.,,true
